user_id,profile_source,has_profile,university_name,school_tier,class_year,major_name,major_cat,mentor_booked,live_resume_used,resume_tool_used,course_previews,target_co_searches,logins,content_views,forum_posts,total_events,intent_events,intent_ratio,tenure_days,days_since_active,email_open_rate,email_click_rate,has_email_record,upgraded
U100042,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,1,1,2,1,8,10,1,24,5,0.208,205,4,0.526,0.242,1,0
U101827,email_capture,1,University of Chicago,target,junior,Economics,finance_econ,0,0,0,1,2,2,5,0,10,3,0.3,186,17,0.486,0.253,1,0
U100606,resume_template_form,1,Harvard University,target,junior,History,other,0,0,1,1,1,10,20,5,38,3,0.079,203,1,0.506,0.239,1,0
U100476,resume_workshop_registration,1,Kent State University,non_target,freshman,Political Science,other,0,1,0,3,3,6,2,0,15,7,0.467,180,12,0.332,0.175,1,0
U100941,email_capture,1,San Diego State,non_target,senior,Communications,other,0,0,0,0,0,10,4,3,17,0,0.0,199,7,0.338,0.154,1,0
U100671,email_capture,1,Arizona State University,non_target,freshman,Mathematics,stem,0,0,0,0,1,7,8,2,18,1,0.056,200,7,0.401,0.155,1,0
U102002,info_session_registration,1,Ohio State University,semi_target,junior,Computer Science,stem,0,0,0,0,0,10,15,1,26,0,0.0,186,1,0.321,0.155,1,0
U100959,resume_template_form,1,Temple University,non_target,junior,Political Science,other,1,0,0,4,0,7,14,1,27,5,0.185,182,27,0.477,0.21,1,0
U100200,resume_template_form,1,Ohio State University,semi_target,junior,Economics,finance_econ,0,0,0,0,0,11,11,3,25,0,0.0,189,9,0.335,0.118,1,0
U101691,email_capture,1,Emory University,semi_target,senior,Communications,other,0,0,0,0,0,4,2,0,6,0,0.0,149,8,0.216,0.117,1,0
U100458,info_session_registration,1,University of Virginia,semi_target,freshman,Engineering,stem,1,1,0,2,3,27,30,3,67,7,0.104,206,2,0.773,0.418,1,0
U100340,self_completed_profile,1,University of Kansas,non_target,freshman,Psychology,other,0,0,0,1,0,11,16,2,30,1,0.033,201,1,0.523,0.195,1,0
U100933,resume_template_form,1,New York University,target,senior,Economics,finance_econ,1,0,0,0,2,11,8,1,23,3,0.13,196,5,0.65,0.35,1,0
U100815,info_session_registration,1,University of Michigan,target,junior,Mathematics,stem,0,0,1,2,1,4,7,0,15,4,0.267,191,16,0.481,0.257,1,0
U100100,resume_template_form,1,Ohio State University,semi_target,senior,Psychology,other,1,0,1,4,7,9,17,3,42,13,0.31,198,9,0.841,0.404,1,0
U101304,resume_workshop_registration,1,Temple University,non_target,senior,History,other,1,0,1,2,2,10,14,0,30,6,0.2,188,8,0.454,0.173,1,0
U100940,email_capture,1,Arizona State University,non_target,senior,History,other,0,0,0,0,3,10,10,0,23,3,0.13,172,5,0.424,0.169,1,0
U101949,resume_template_form,1,San Diego State,non_target,senior,Accounting,finance_econ,0,1,0,0,1,15,12,1,30,2,0.067,185,6,0.0,0.0,0,0
U101820,info_session_registration,1,Temple University,non_target,senior,History,other,0,0,0,1,1,5,11,1,19,2,0.105,195,9,0.572,0.263,1,0
U100915,info_session_registration,1,New York University,target,freshman,Political Science,other,1,0,0,4,9,5,6,2,27,14,0.519,208,0,0.547,0.208,1,1
U100069,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,0,1,10,9,2,22,1,0.045,183,11,0.422,0.224,1,0
U101550,info_session_registration,1,Ohio State University,semi_target,junior,Statistics,stem,1,0,1,1,4,5,23,2,37,7,0.189,202,6,0.92,0.413,1,0
U100601,resume_workshop_registration,1,Kent State University,non_target,junior,Accounting,finance_econ,1,0,0,4,6,10,19,1,41,11,0.268,207,0,0.645,0.254,1,0
U100130,resume_workshop_registration,1,University of Michigan,target,sophomore,Finance,finance_econ,1,1,1,3,10,15,19,3,53,16,0.302,207,1,0.99,0.508,1,1
U100278,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,0,1,18,20,5,44,1,0.023,198,7,0.565,0.328,1,0
U100033,resume_template_form,1,Kent State University,non_target,junior,Accounting,finance_econ,0,0,1,1,0,8,3,0,13,2,0.154,184,8,0.141,0.067,1,0
U100286,info_session_registration,1,University of Illinois,semi_target,freshman,Computer Science,stem,0,0,0,0,4,2,1,0,7,4,0.571,136,55,0.399,0.218,1,0
U100041,resume_template_form,1,Kent State University,non_target,sophomore,Finance,finance_econ,0,0,0,0,1,8,23,1,33,1,0.03,206,1,0.456,0.211,1,0
U101172,info_session_registration,1,Harvard University,target,junior,Accounting,finance_econ,1,0,0,1,3,8,12,1,26,5,0.192,196,9,0.52,0.269,1,0
U101999,resume_template_form,1,University of Chicago,target,senior,Psychology,other,1,0,1,2,8,6,14,0,32,12,0.375,205,3,0.634,0.255,1,1
U100757,resume_workshop_registration,1,Cornell University,target,senior,Psychology,other,0,0,1,1,4,19,24,6,55,6,0.109,199,7,0.796,0.384,1,0
U100722,email_capture,1,University of Nevada,non_target,junior,Psychology,other,0,0,1,2,5,1,1,0,10,8,0.8,196,10,0.545,0.32,1,0
U100175,resume_workshop_registration,1,Boston College,semi_target,junior,Computer Science,stem,1,0,0,5,6,1,8,0,21,12,0.571,200,6,0.788,0.416,1,0
U101660,resume_workshop_registration,1,University of Michigan,target,junior,Statistics,stem,0,1,0,1,3,12,15,2,34,5,0.147,201,5,0.628,0.305,1,0
U100561,email_capture,1,Boston College,semi_target,senior,Computer Science,stem,1,1,0,5,3,9,16,0,35,10,0.286,200,4,0.615,0.334,1,0
U100898,email_capture,1,Emory University,semi_target,senior,Psychology,other,1,0,1,1,2,15,15,2,37,5,0.135,196,10,0.549,0.203,1,0
U100625,info_session_registration,1,UT Austin,semi_target,junior,Economics,finance_econ,0,0,1,4,2,7,3,0,17,7,0.412,201,2,0.439,0.207,1,0
U101919,resume_workshop_registration,1,University of Virginia,semi_target,senior,Finance,finance_econ,0,0,0,2,0,10,11,0,23,2,0.087,202,3,0.475,0.199,1,0
U101360,resume_workshop_registration,1,University of Kansas,non_target,senior,Communications,other,0,0,0,1,5,5,17,2,30,6,0.2,196,5,0.521,0.307,1,0
U100860,unknown,0,(not provided),unknown,unknown,(not provided),unknown,1,0,0,2,4,13,31,3,54,7,0.13,200,2,0.71,0.253,1,0
U100936,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,0,1,5,1,0,7,1,0.143,168,21,0.391,0.15,1,0
U101118,unknown,0,(not provided),unknown,unknown,(not provided),unknown,0,0,0,0,0,11,18,0,29,0,0.0,182,2,0.201,0.071,1,0
