user_id,email_open_rate,email_click_rate
U100001,0.507,0.269
U100002,0.469,0.192
U100003,0.707,0.418
U100004,0.386,0.136
U100005,0.181,0.08
U100006,0.399,0.18
U100007,0.435,0.214
U100008,0.365,0.214
U100009,0.526,0.298
U100010,0.786,0.417
U100011,0.378,0.223
U100012,0.672,0.263
U100013,0.569,0.258
U100014,0.692,0.386
U100016,0.461,0.265
U100017,0.485,0.224
U100018,0.628,0.366
U100019,0.274,0.105
U100020,0.877,0.47
U100021,0.675,0.357
U100022,0.679,0.256
U100023,0.732,0.391
U100024,0.529,0.285
U100025,0.455,0.264
U100026,0.532,0.297
U100027,0.276,0.141
U100028,0.399,0.193
U100029,0.585,0.268
U100030,0.787,0.325
U100031,0.303,0.136
U100032,0.385,0.206
U100033,0.141,0.067
U100034,0.436,0.197
U100035,0.716,0.321
U100036,0.535,0.301
U100037,0.414,0.215
U100038,0.362,0.158
U100039,0.307,0.181
U100040,0.352,0.136
U100041,0.456,0.211
U100042,0.526,0.242
U100043,0.219,0.079
U100044,0.701,0.376
U100045,0.603,0.323
U100046,0.3,0.136
U100047,0.418,0.194
U100048,0.526,0.259
U100049,0.708,0.343
U100050,0.155,0.072
U100051,0.669,0.263
U100052,0.393,0.216
U100053,0.608,0.331
U100056,0.4,0.198
U100057,0.662,0.277
U100058,0.308,0.111
U100059,0.413,0.165
U100060,0.776,0.346
U100061,0.529,0.266
U100062,0.599,0.304
U100063,0.38,0.199
U100064,0.283,0.169
U100066,0.208,0.078
U100067,0.279,0.117
U100068,0.085,0.037
U100069,0.422,0.224
U100070,0.527,0.224
U100071,0.277,0.129
U100072,0.73,0.313
U100073,0.136,0.067
U100074,0.691,0.316
U100075,0.594,0.222
U100076,0.521,0.289
U100077,0.905,0.529
U100078,0.368,0.209
U100079,0.634,0.251
U100080,0.719,0.366
U100081,0.538,0.308
U100082,0.519,0.288
U100083,0.341,0.198
U100084,0.818,0.29
U100085,0.32,0.13
U100086,0.587,0.323
U100088,0.54,0.32
U100089,0.56,0.227
U100090,0.547,0.205
U100091,0.663,0.249
U100092,0.712,0.356
U100093,0.706,0.352
U100094,0.557,0.257
U100095,0.454,0.197
U100096,0.68,0.288
U100097,0.171,0.092
U100098,0.397,0.19
U100099,0.936,0.477
U100100,0.841,0.404
U100101,0.378,0.17
U100102,0.43,0.204
U100103,0.503,0.21
U100104,0.484,0.252
U100105,0.163,0.086
U100106,0.526,0.257
U100107,0.441,0.25
U100108,0.403,0.224
U100109,0.445,0.246
U100110,0.369,0.202
U100111,0.36,0.21
U100112,0.227,0.094
U100113,0.485,0.175
U100114,0.474,0.174
U100115,0.125,0.068
U100116,0.439,0.252
U100117,0.651,0.278
U100118,0.439,0.206
U100119,0.429,0.166
U100120,0.511,0.191
U100121,0.275,0.137
U100122,0.535,0.226
U100123,0.376,0.161
U100124,0.506,0.275
U100125,0.2,0.106
U100126,0.511,0.225
U100127,0.466,0.253
U100128,0.774,0.364
U100129,0.513,0.275
U100130,0.99,0.508
U100131,0.775,0.335
U100132,0.282,0.105
U100133,0.494,0.225
U100134,0.501,0.209
U100135,0.456,0.22
U100136,0.376,0.203
U100137,0.626,0.256
U100138,0.295,0.145
U100139,0.367,0.205
U100140,0.497,0.226
U100141,0.686,0.411
U100142,0.4,0.15
U100143,0.628,0.353
U100144,0.559,0.207
U100145,0.331,0.145
U100146,0.359,0.195
U100147,0.46,0.174
U100148,0.734,0.301
U100149,0.275,0.157
U100150,0.55,0.261
U100151,0.274,0.131
U100152,0.332,0.116
U100153,0.246,0.147
U100154,0.431,0.233
U100155,0.382,0.225
U100156,0.76,0.328
U100157,0.422,0.244
U100158,0.415,0.245
U100159,0.133,0.074
U100160,0.404,0.238
U100161,0.416,0.163
U100162,0.659,0.377
U100164,0.676,0.376
U100165,0.82,0.393
U100166,0.61,0.255
U100167,0.405,0.21
U100168,0.511,0.271
U100170,0.652,0.328
U100171,0.619,0.297
U100172,0.438,0.172
U100173,0.49,0.2
U100174,0.468,0.253
U100175,0.788,0.416
U100176,0.6,0.231
U100177,0.484,0.287
U100178,0.524,0.203
U100179,0.557,0.324
U100180,0.346,0.137
U100181,0.342,0.179
U100182,0.54,0.294
U100183,0.378,0.192
U100184,0.446,0.246
U100185,0.096,0.05
U100186,0.647,0.341
U100187,0.431,0.211
U100188,0.529,0.222
U100189,0.283,0.135
U100190,0.737,0.368
U100191,0.497,0.206
U100192,0.43,0.17
U100193,0.264,0.133
U100194,0.431,0.232
U100195,0.606,0.332
U100196,0.38,0.139
U100197,0.507,0.268
U100198,0.454,0.263
U100199,0.294,0.157
U100200,0.335,0.118
U100201,0.281,0.126
U100202,0.642,0.324
U100203,0.434,0.178
U100204,0.438,0.227
U100205,0.51,0.228
U100206,0.568,0.306
U100207,0.714,0.327
U100208,0.737,0.4
U100209,0.837,0.443
U100210,0.436,0.236
U100211,0.445,0.259
U100212,0.782,0.364
U100213,0.446,0.163
U100214,0.883,0.364
U100215,0.479,0.188
U100216,0.425,0.15
U100217,0.597,0.223
U100218,0.662,0.364
U100219,0.165,0.062
U100220,0.393,0.155
U100221,0.528,0.222
U100222,0.639,0.273
U100224,0.468,0.264
U100225,0.406,0.185
U100226,0.332,0.174
U100227,0.287,0.171
U100228,0.748,0.318
U100229,0.825,0.391
U100230,0.596,0.234
U100231,0.649,0.386
U100232,0.39,0.195
U100233,0.306,0.118
U100234,0.622,0.219
U100235,0.33,0.152
U100236,0.425,0.159
U100237,0.56,0.242
U100238,0.551,0.303
U100239,0.59,0.297
U100240,0.444,0.231
U100241,0.904,0.506
U100242,0.579,0.324
U100243,0.538,0.244
U100244,0.509,0.204
U100245,0.388,0.137
U100246,0.775,0.408
U100247,0.359,0.17
U100248,0.338,0.147
U100249,0.135,0.058
U100250,0.514,0.227
U100251,0.488,0.268
U100252,0.401,0.239
U100253,0.269,0.108
U100254,0.11,0.056
U100255,0.156,0.09
U100256,0.72,0.366
U100257,0.593,0.31
U100258,0.355,0.143
U100259,0.326,0.129
U100260,0.93,0.516
U100261,0.156,0.066
U100262,0.589,0.225
U100263,0.603,0.353
U100264,0.347,0.144
U100265,0.323,0.145
U100266,0.599,0.297
