anon_id,event_name,event_ts,event_property
a_5212042071,content_view,2026-07-09 21:00:00,
a_1304557908,login,2026-02-06 18:00:00,
a_5379947087,course_preview,2026-04-19 03:00:00,LBO Mastery
a_5232644497,forum_post,2026-02-04 17:00:00,
a_8275248155,forum_post,2026-07-20 22:00:00,
a_9771760763,login,2026-05-14 05:00:00,
a_6245463604,live_resume_session,2026-02-25 08:00:00,
a_9303901871,course_preview,2026-07-26 07:00:00,LBO Mastery
a_7241981345,course_preview,2026-05-30 11:00:00,Valuation
a_3679720705,login,2026-01-17 11:00:00,
a_5775473365,content_view,2026-07-04 13:00:00,
a_4096515326,resume_tool_use,2026-07-12 17:00:00,
a_5356440925,content_view,2026-05-31 03:00:00,
a_3119359643,content_view,2026-01-20 06:00:00,
a_7316954118,content_view,2026-06-10 12:00:00,
a_7018730188,content_view,2026-07-09 11:00:00,
a_6331079739,login,2026-02-16 07:00:00,
a_3515996759,login,2026-05-21 17:00:00,
a_4916051326,course_preview,2026-01-06 19:00:00,Financial Modeling
a_6193184348,content_view,2026-07-10 08:00:00,
a_5394036680,content_view,2026-02-15 10:00:00,
a_2772801498,content_view,2026-07-10 02:00:00,
a_6914438162,course_preview,2026-06-20 20:00:00,Financial Modeling
a_4878510909,course_preview,2026-07-25 22:00:00,IB Interview Prep
a_3582353164,content_view,2026-01-12 07:00:00,
a_5863777979,content_view,2026-06-30 19:00:00,
a_6485804623,content_view,2026-05-24 17:00:00,
a_1183705324,login,2026-05-30 20:00:00,
a_3344092809,login,2026-06-14 10:00:00,
a_3787704110,resume_tool_use,2026-05-26 01:00:00,
a_3000889849,content_view,2026-05-27 07:00:00,
a_2871044177,content_view,2026-05-23 17:00:00,
a_3930963898,login,2026-07-29 19:00:00,
a_7371191837,company_search,2026-04-12 03:00:00,JPMorgan
a_7323687718,content_view,2026-03-24 07:00:00,
a_7802564071,content_view,2026-07-19 06:00:00,
a_5184801551,content_view,2026-06-17 03:00:00,
a_8761588100,content_view,2026-07-06 04:00:00,
a_5919630695,login,2026-06-19 12:00:00,
a_2949891584,content_view,2026-01-31 09:00:00,
a_8602168067,login,2026-03-01 14:00:00,
a_2926729830,login,2026-05-11 22:00:00,
a_3794585640,login,2026-04-22 23:00:00,
a_8887166663,content_view,2026-06-24 11:00:00,
a_7813771922,content_view,2026-07-28 03:00:00,
a_8135524282,login,2026-01-09 12:00:00,
a_6032370598,content_view,2026-03-11 02:00:00,
a_2122864480,content_view,2026-01-13 14:00:00,
a_8761588100,login,2026-03-23 02:00:00,
a_4221188963,login,2026-07-01 09:00:00,
a_1552862621,content_view,2026-06-11 20:00:00,
a_1489624456,company_search,2026-01-14 05:00:00,Bank of America
a_7356493441,content_view,2026-07-14 02:00:00,
a_1926141159,course_preview,2026-07-11 08:00:00,Networking 101
a_4752594390,content_view,2026-02-01 01:00:00,
a_3636260018,content_view,2026-02-28 23:00:00,
a_6006382071,forum_post,2026-06-18 17:00:00,
a_4088320096,login,2026-06-14 10:00:00,
a_3843049753,content_view,2026-08-01 03:00:00,
