anon_id,user_id,identified_date
a_4037309927,U100042,2026-01-23
a_7323687718,U101827,2026-04-22
a_2880292048,,
a_7380497003,U100606,2026-05-15
a_1848415016,U100476,2026-01-13
a_3128235721,U100941,2026-08-05
a_6494550493,,
a_4744313656,U100671,2026-03-25
a_9429646775,U102002,2026-06-01
a_6824280631,U100959,2026-01-09
a_9040020938,U100200,2026-02-21
a_7628559913,U101691,2026-02-14
a_8574594644,U100458,2026-06-18
a_7881120778,U100340,2026-03-04
a_3288522394,U100933,2026-07-28
a_6227923810,U100815,2026-04-07
a_4195898403,U100100,2026-02-17
a_4678269458,U101304,2026-04-23
a_4179430753,U100940,2026-03-03
a_3051379936,U101949,2026-04-16
a_5219793900,U101820,2026-05-20
a_8285718364,U100915,2026-02-07
a_4212298663,U100069,2026-03-12
a_7633579856,,
a_7348023821,U101550,2026-06-15
a_6385180817,U100601,2026-03-28
a_4894644543,U100130,2026-06-26
a_4691610267,U100278,2026-01-25
a_2055579220,U100033,2026-01-30
a_8669298206,U100286,2026-06-03
a_4690720653,,
a_5539933161,U100041,2026-07-06
a_3614876440,U101172,2026-06-17
a_5752767011,,
a_7020791537,U101999,2026-02-05
a_1780403093,U100757,2026-02-13
a_1752840012,U100722,2026-02-22
a_6813265220,U100175,2026-04-15
a_4079669613,U101660,2026-02-13
a_3923440017,U100561,2026-02-11
a_7018730188,U100898,2026-08-01
a_6694437557,U100625,2026-01-12
a_2879520656,U101919,2026-05-06
a_8602168067,U101360,2026-04-03
a_3026098389,U100860,2026-02-07
a_4625276255,U100936,2026-03-08
a_4720324747,U101118,2026-02-27
a_9001896683,U100221,2026-07-08
a_5297658802,U100073,2026-07-05
a_7512737503,U101508,2026-04-16
a_7664284431,U100537,2026-05-30
a_3846594329,U101709,2026-05-01
a_9543161886,U101502,2026-05-09
a_2583987634,,
a_1871701439,,
a_4008794700,,
a_6021442930,U101898,2026-06-19
a_5970800461,U100151,2026-03-26
a_3119696841,U100397,2026-08-05
a_5128642296,U101028,2026-04-05
a_5940846239,U101886,2026-05-23
a_2060937875,U100216,2026-04-05
a_2927362857,U100336,2026-08-03
