user_id,profile_source,university_name,school_tier,class_year,major_name,major_cat
U100595,resume_template_form,Boston College,semi_target,senior,Psychology,other
U101562,resume_template_form,Harvard University,target,freshman,Finance,finance_econ
U100291,resume_template_form,University of Nevada,non_target,junior,Computer Science,stem
U101061,resume_template_form,Emory University,semi_target,junior,Accounting,finance_econ
U100963,self_completed_profile,UT Austin,semi_target,junior,Psychology,other
U101065,info_session_registration,Harvard University,target,senior,Communications,other
U100048,resume_workshop_registration,University of Virginia,semi_target,sophomore,History,other
U100671,email_capture,Arizona State University,non_target,freshman,Mathematics,stem
U100327,resume_template_form,Kent State University,non_target,sophomore,Communications,other
U100406,info_session_registration,University of Kansas,non_target,junior,Computer Science,stem
U101172,info_session_registration,Harvard University,target,junior,Accounting,finance_econ
U101150,email_capture,New York University,target,junior,Accounting,finance_econ
U101120,resume_template_form,University of Virginia,semi_target,senior,Communications,other
U101886,email_capture,University of Nevada,non_target,junior,Mathematics,stem
U101601,resume_template_form,Kent State University,non_target,junior,Engineering,stem
U101742,info_session_registration,Emory University,semi_target,sophomore,Finance,finance_econ
U100449,email_capture,University of Kansas,non_target,junior,Accounting,finance_econ
U101841,email_capture,University of Pennsylvania,target,senior,Political Science,other
U101317,resume_workshop_registration,University of Pennsylvania,target,freshman,History,other
U101141,email_capture,Emory University,semi_target,freshman,Political Science,other
U101332,resume_workshop_registration,Temple University,non_target,senior,Statistics,stem
U100328,resume_template_form,Ohio State University,semi_target,freshman,Finance,finance_econ
U100916,self_completed_profile,University of Illinois,semi_target,sophomore,History,other
U101774,email_capture,Harvard University,target,senior,Economics,finance_econ
U100598,email_capture,Emory University,semi_target,senior,Mathematics,stem
U100988,resume_template_form,University of Pennsylvania,target,junior,Communications,other
U101139,resume_template_form,Arizona State University,non_target,junior,History,other
U100587,email_capture,University of Kansas,non_target,freshman,Accounting,finance_econ
U101535,resume_template_form,San Diego State,non_target,junior,Communications,other
U100628,info_session_registration,Temple University,non_target,senior,Political Science,other
U100204,email_capture,New York University,target,senior,Mathematics,stem
U101947,resume_template_form,University of Nevada,non_target,junior,Psychology,other
U101526,resume_template_form,New York University,target,freshman,Economics,finance_econ
U100576,resume_template_form,University of Nevada,non_target,sophomore,Accounting,finance_econ
U100123,resume_workshop_registration,University of Michigan,target,freshman,History,other
U100858,info_session_registration,University of Nevada,non_target,senior,History,other
U101273,info_session_registration,University of Virginia,semi_target,sophomore,Communications,other
U101991,resume_template_form,New York University,target,sophomore,Political Science,other
U100641,resume_template_form,UT Austin,semi_target,sophomore,Psychology,other
U100663,resume_workshop_registration,University of Kansas,non_target,junior,Mathematics,stem
U100766,self_completed_profile,Arizona State University,non_target,senior,Psychology,other
U101117,resume_workshop_registration,UT Austin,semi_target,junior,Economics,finance_econ
U101127,resume_template_form,University of Kansas,non_target,junior,Communications,other
U100122,resume_template_form,Temple University,non_target,senior,Accounting,finance_econ
U101941,resume_template_form,University of Michigan,target,junior,Accounting,finance_econ
U100609,resume_workshop_registration,University of Illinois,semi_target,junior,Economics,finance_econ
U100010,email_capture,University of Kansas,non_target,junior,Communications,other
U100232,resume_template_form,University of Nevada,non_target,freshman,Economics,finance_econ
U101734,resume_workshop_registration,University of Pennsylvania,target,sophomore,Communications,other
U100072,email_capture,Temple University,non_target,sophomore,Engineering,stem
U101059,self_completed_profile,University of Chicago,target,freshman,Communications,other
U100493,self_completed_profile,University of Kansas,non_target,senior,Economics,finance_econ
U100265,email_capture,University of Kansas,non_target,sophomore,History,other
U100180,resume_workshop_registration,Ohio State University,semi_target,junior,Economics,finance_econ
U101228,info_session_registration,University of Michigan,target,sophomore,Mathematics,stem
U100348,info_session_registration,UT Austin,semi_target,sophomore,Computer Science,stem
U101656,info_session_registration,Boston College,semi_target,junior,Economics,finance_econ
U100947,email_capture,University of Nevada,non_target,senior,Communications,other
U100653,email_capture,Ohio State University,semi_target,junior,Mathematics,stem
U100301,info_session_registration,UT Austin,semi_target,sophomore,Accounting,finance_econ
U100997,resume_workshop_registration,Arizona State University,non_target,junior,Finance,finance_econ
U101538,self_completed_profile,Emory University,semi_target,junior,Economics,finance_econ
U100380,info_session_registration,Kent State University,non_target,junior,History,other
U100285,info_session_registration,Kent State University,non_target,freshman,Statistics,stem
U101108,email_capture,University of Michigan,target,senior,Economics,finance_econ
U101430,self_completed_profile,Ohio State University,semi_target,senior,Psychology,other
U100523,info_session_registration,Temple University,non_target,sophomore,History,other
U101725,resume_template_form,San Diego State,non_target,freshman,History,other
U100584,info_session_registration,University of Michigan,target,senior,Mathematics,stem
U100989,resume_workshop_registration,University of Kansas,non_target,junior,Psychology,other
U101175,resume_template_form,Ohio State University,semi_target,junior,Economics,finance_econ
U101465,info_session_registration,Arizona State University,non_target,senior,Finance,finance_econ
U101717,resume_workshop_registration,Temple University,non_target,senior,Psychology,other
U101463,info_session_registration,University of Pennsylvania,target,junior,Communications,other
U100161,resume_template_form,Kent State University,non_target,sophomore,Psychology,other
U101067,resume_template_form,San Diego State,non_target,senior,History,other
U101312,email_capture,Boston College,semi_target,junior,History,other
U101972,resume_template_form,Kent State University,non_target,sophomore,Engineering,stem
