user_id,plan,upgrade_date,mrr_usd
U100626,course_bundle,2026-08-17,59
U100920,course_bundle,2026-09-05,59
U100751,academy_monthly,2026-09-04,39
U100688,academy_monthly,2026-04-08,39
U100818,course_bundle,2026-09-01,59
U101543,course_bundle,2026-09-16,59
U100744,academy_annual,2026-05-18,29
U101556,course_bundle,2026-10-14,59
U100099,academy_annual,2026-06-26,29
U100910,academy_monthly,2026-05-19,39
U101034,academy_monthly,2026-04-12,39
U102006,academy_monthly,2026-12-03,39
U100868,academy_monthly,2026-12-21,39
U100832,academy_monthly,2026-07-15,39
U100934,course_bundle,2026-06-14,59
U100383,academy_annual,2026-06-28,29
U100853,academy_annual,2026-03-27,29
U100702,academy_annual,2026-06-30,29
U101724,academy_annual,2026-05-26,29
U100881,academy_monthly,2026-02-15,39
U101111,academy_annual,2026-10-27,29
U101794,academy_monthly,2026-08-01,39
U100376,course_bundle,2026-09-04,59
U101140,academy_annual,2026-06-20,29
U100267,academy_annual,2026-09-20,29
U100616,course_bundle,2026-06-18,59
U100505,course_bundle,2026-12-07,59
U101287,academy_monthly,2026-10-22,39
U100851,course_bundle,2026-06-08,59
U100015,academy_monthly,2026-04-04,39
U101793,academy_annual,2026-08-17,29
U100684,academy_monthly,2026-09-21,39
U100479,academy_annual,2026-07-14,29
U101259,course_bundle,2026-06-26,59
U101179,academy_monthly,2026-07-25,39
U101515,course_bundle,2026-07-28,59
U100803,academy_annual,2026-03-03,29
U100575,academy_monthly,2026-05-28,39
U101333,academy_annual,2026-08-03,29
U100123,course_bundle,2026-07-10,59
U101539,academy_monthly,2026-08-26,39
U101095,course_bundle,2026-05-28,59
U101221,academy_monthly,2026-08-16,39
U101223,course_bundle,2026-06-30,59
U100912,academy_annual,2026-07-06,29
U101562,academy_annual,2026-07-30,29
U100084,academy_monthly,2026-05-08,39
U100958,academy_monthly,2026-04-16,39
U101552,academy_monthly,2026-06-04,39
U101980,academy_annual,2026-07-20,29
U101149,course_bundle,2026-12-14,59
U101087,course_bundle,2026-10-04,59
U100884,academy_annual,2026-07-31,29
U100270,course_bundle,2026-05-17,59
U101037,academy_monthly,2026-03-30,39
U101064,academy_monthly,2026-07-26,39
U101495,academy_annual,2026-06-11,29
U101810,course_bundle,2026-04-03,59
U101746,academy_monthly,2026-07-28,39
U100995,academy_annual,2026-11-18,29
U100162,academy_annual,2026-04-09,29
U100727,academy_annual,2026-05-18,29
U101999,course_bundle,2026-03-30,59
U101442,academy_monthly,2026-02-20,39
U101909,course_bundle,2026-06-15,59
U100489,academy_monthly,2026-03-23,39
U101415,academy_monthly,2026-04-23,39
U100734,academy_annual,2026-11-13,29
U100333,course_bundle,2026-03-04,59
U101335,academy_annual,2027-01-11,29
U100032,academy_monthly,2026-04-04,39
U101148,academy_monthly,2026-06-17,39
U101645,academy_annual,2026-04-16,29
U100131,academy_monthly,2026-07-15,39
U101252,academy_annual,2026-06-14,29
U101192,academy_monthly,2026-11-17,39
U100660,academy_monthly,2027-01-09,39
U100673,academy_annual,2026-10-17,29
U100030,academy_annual,2026-08-05,29
U100680,academy_annual,2026-02-15,29
U100987,course_bundle,2026-07-08,59
U101982,course_bundle,2026-04-21,59
U101674,course_bundle,2026-08-19,59
U101626,academy_monthly,2026-08-05,39
U101681,academy_annual,2026-01-16,29
U101747,course_bundle,2026-08-11,59
U101637,academy_monthly,2026-05-15,39
U101548,academy_annual,2026-06-24,29
U101005,academy_annual,2026-02-17,29
U100442,course_bundle,2026-06-30,59
U100962,academy_annual,2026-10-29,29
U101063,academy_annual,2026-02-03,29
U100638,academy_monthly,2026-05-12,39
U101721,academy_monthly,2026-11-20,39
U101978,academy_annual,2026-04-16,29
U100597,academy_annual,2026-05-19,29
U101215,academy_annual,2026-06-23,29
U101872,academy_monthly,2026-06-21,39
U101155,academy_annual,2026-04-21,29
U100765,academy_monthly,2026-08-23,39
U101246,course_bundle,2026-07-15,59
U101953,course_bundle,2026-11-25,59
U100532,academy_annual,2026-05-07,29
U101828,course_bundle,2026-04-28,59
U101561,academy_annual,2026-09-09,29
U101870,academy_annual,2026-07-11,29
U100797,course_bundle,2026-07-14,59
U101501,academy_annual,2026-03-31,29
U101340,academy_monthly,2026-10-05,39
U101496,course_bundle,2026-06-17,59
U101180,course_bundle,2026-05-23,59
U101006,academy_annual,2026-04-01,29
U101237,course_bundle,2026-08-02,59
U100882,course_bundle,2026-07-21,59
U100401,course_bundle,2026-07-29,59
U101520,academy_annual,2026-05-29,29
U101554,academy_monthly,2026-02-23,39
U100156,academy_annual,2026-08-04,29
U100778,course_bundle,2026-07-19,59
U101323,academy_monthly,2026-03-17,39
U101081,academy_monthly,2026-05-06,39
U100735,academy_annual,2026-09-01,29
U101934,course_bundle,2026-05-28,59
U100618,academy_monthly,2026-05-19,39
U100500,academy_annual,2026-08-25,29
U101988,course_bundle,2026-04-13,59
U100850,course_bundle,2026-03-28,59
U100020,academy_monthly,2026-10-13,39
U100969,course_bundle,2026-11-18,59
U101187,academy_monthly,2026-08-30,39
U101580,academy_monthly,2026-09-13,39
U100907,academy_annual,2026-07-02,29
U100055,academy_annual,2026-11-27,29
U101371,academy_annual,2026-11-23,29
U101377,course_bundle,2026-08-05,59
U100687,course_bundle,2026-11-05,59
U101073,academy_annual,2026-07-02,29
U100924,academy_monthly,2026-05-15,39
U101389,course_bundle,2026-03-12,59
U100509,course_bundle,2026-10-06,59
U101939,academy_annual,2026-08-04,29
U100953,course_bundle,2026-08-14,59
U101334,academy_annual,2026-07-27,29
U101404,course_bundle,2026-08-07,59
U100203,course_bundle,2026-05-04,59
U100592,academy_monthly,2026-09-14,39
U101290,course_bundle,2026-06-29,59
U100908,course_bundle,2026-05-25,59
U100494,course_bundle,2026-09-12,59
U100397,academy_annual,2026-12-07,29
U101044,academy_monthly,2026-08-12,39
U101013,academy_annual,2026-07-03,29
U101869,academy_annual,2026-07-17,29
U101125,course_bundle,2026-03-23,59
U101863,academy_monthly,2026-02-27,39
U100211,academy_monthly,2026-09-01,39
U100124,academy_annual,2026-05-02,29
U100562,academy_monthly,2026-08-02,39
U100356,course_bundle,2026-07-30,59
U100406,course_bundle,2026-08-22,59
U100586,course_bundle,2026-05-12,59
U101551,course_bundle,2026-07-23,59
U100430,course_bundle,2026-06-10,59
U101846,academy_annual,2026-05-05,29
U101420,course_bundle,2026-08-26,59
U100463,academy_monthly,2026-03-14,39
U100323,course_bundle,2026-07-03,59
U100534,academy_monthly,2026-03-26,39
U100855,course_bundle,2026-09-17,59
U101756,academy_annual,2026-10-13,29
U100656,course_bundle,2026-09-07,59
U101849,academy_monthly,2026-04-26,39
U100966,academy_monthly,2026-07-16,39
U100767,course_bundle,2026-09-02,59
U100909,academy_monthly,2026-08-25,39
U100212,academy_annual,2026-09-04,29
U101112,course_bundle,2026-03-27,59
U100104,academy_annual,2026-03-19,29
U100179,academy_annual,2026-07-17,29
U100895,course_bundle,2026-08-24,59
U101056,academy_annual,2026-05-29,29
U101686,course_bundle,2026-02-01,59
U101676,academy_monthly,2026-03-06,39
U101618,course_bundle,2026-05-12,59
U101267,academy_monthly,2026-09-24,39
U101609,academy_annual,2026-07-25,29
U100370,academy_annual,2026-07-09,29
U100130,course_bundle,2026-06-30,59
U100960,academy_monthly,2026-08-19,39
U100167,course_bundle,2026-06-19,59
U100635,academy_annual,2026-04-02,29
U101791,academy_monthly,2026-08-05,39
U101649,course_bundle,2026-10-04,59
