feature,coefficient,odds_ratio
mentor_booked,0.48129047881312736,1.6181612582014837
school_tier_target,0.38713817761824143,1.4727599796802735
major_cat_finance_econ,0.36709549928759555,1.4435357691703565
resume_tool_used,0.29576813058662355,1.3441584514643528
logins,0.2901239758907434,1.336593183084598
profile_source_info_session_registration,0.2678078947454676,1.3070960158817464
intent_events,0.24479937358433865,1.2773650143312676
email_open_rate,0.2281336964783576,1.256253270843476
live_resume_used,0.2187637154244071,1.244537177004612
class_year_junior,0.20644200742409255,1.2292964420826449
profile_source_resume_workshop_registration,0.20087056411896817,1.222466530550085
course_previews,0.20079702542704958,1.2223766352659455
has_profile,0.1569927769143111,1.1699871629528598
class_year_senior,0.13464433454711414,1.1441297845397402
profile_source_self_completed_profile,0.11860951781813961,1.1259301767662797
target_co_searches,0.11558972305920588,1.1225352273247444
total_events,0.11302702498445867,1.1196621913930385
has_email_record,0.054732288664323926,1.0562578046337596
intent_ratio,0.012408950065246253,1.0124862605357448
school_tier_semi_target,-0.016053668796013817,0.9840745045441786
class_year_sophomore,-0.030359124140800834,0.9700970857018403
class_year_unknown,-0.06602459549692696,0.9361078399709714
profile_source_unknown,-0.06602459549692696,0.9361078399709714
major_cat_unknown,-0.06602459549692696,0.9361078399709714
school_tier_unknown,-0.06602459549692696,0.9361078399709714
tenure_days,-0.09673359790180988,0.9077978131650518
content_views,-0.09945682486821117,0.9053290367251846
profile_source_resume_template_form,-0.12992233617180957,0.8781636298215028
major_cat_other,-0.13453404929235818,0.8741231150963542
forum_posts,-0.1455664589989174,0.8645324322047024
major_cat_stem,-0.1690796993758324,0.8444415992356346
class_year_freshman,-0.24724546721098795,0.7809489726355056
days_since_active,-0.29276672930800335,0.7461961860972829
school_tier_non_target,-0.30760275820282146,0.7352073150836502
email_click_rate,-0.31165254282840954,0.732235904649664
profile_source_email_capture,-0.39388388989135753,0.6744323601090252
