user_id,upgraded,propensity
U101834,0,0.9784
U100656,1,0.968
U100130,1,0.9676
U100609,1,0.9607
U100061,1,0.9585
U101677,1,0.9584
U100687,1,0.9577
U101794,1,0.9567
U100934,1,0.9538
U100732,1,0.9532
U100307,0,0.9526
U101467,1,0.9523
U100165,0,0.951
U101095,1,0.9508
U101073,1,0.95
U101442,1,0.9496
U100962,1,0.9492
U101309,1,0.949
U100084,1,0.9457
U101093,0,0.9449
U101917,0,0.9445
U101637,1,0.9402
U100618,1,0.9401
U100744,1,0.9399
U101624,0,0.9364
U100234,0,0.9364
U100909,1,0.9363
U100584,0,0.9356
U101140,1,0.9348
U101792,0,0.9347
U101051,1,0.9341
U100853,1,0.9339
U100020,1,0.9318
U100868,1,0.9294
U100030,1,0.9287
U100607,0,0.928
U100545,0,0.9279
U100652,0,0.9278
U100635,1,0.9267
U100990,1,0.925
U101495,1,0.9244
U101425,1,0.9243
U101377,1,0.924
U101846,1,0.9225
U100751,1,0.9224
U101150,1,0.9217
U101552,1,0.9209
U100767,1,0.9188
U101948,0,0.9187
U101179,1,0.917
U100827,0,0.9146
U101037,1,0.9125
U101650,0,0.9124
U100592,1,0.9123
U100987,1,0.911
U101591,0,0.911
U101111,1,0.9106
U101117,0,0.9096
U100727,1,0.9089
U101420,1,0.9089
U101187,1,0.9065
U101791,1,0.9059
U100212,1,0.9032
U100638,1,0.9024
U100971,1,0.9017
U100490,0,0.8986
U101664,0,0.8953
U100480,1,0.8953
U101746,1,0.8946
U100958,1,0.8925
U100518,1,0.8924
U100680,1,0.8916
U101499,0,0.8911
U101265,0,0.8906
U101071,0,0.8898
U101868,1,0.8894
U101340,1,0.8885
U100597,1,0.8881
U100186,1,0.8875
U101574,0,0.8872
U101721,1,0.8869
U100350,0,0.8866
U101131,0,0.8863
U100809,0,0.8863
U100222,0,0.8861
U100170,0,0.8861
U100446,0,0.8859
U101125,1,0.8846
U100400,1,0.8839
U100388,1,0.8826
U101801,0,0.8812
U100765,1,0.8794
U100855,1,0.878
U100313,1,0.8776
U101609,1,0.8774
U100376,1,0.8772
U101561,1,0.8762
U100489,1,0.8753
U101836,1,0.8731
U101178,0,0.8704
U101449,0,0.8694
U101472,0,0.8686
U101371,1,0.8679
U101980,1,0.8677
U101333,1,0.8629
U100847,0,0.8621
U101797,0,0.8613
U100534,1,0.8611
U101788,0,0.8581
U100228,0,0.858
U100117,0,0.8574
U100505,1,0.8562
U100099,1,0.8561
U101905,0,0.8548
U100551,0,0.854
U100032,1,0.8539
U101261,0,0.8533
U101934,1,0.8523
U101674,1,0.8523
U101419,0,0.8508
U101907,0,0.848
U100616,1,0.847
U100273,1,0.8468
U101409,1,0.8464
U101414,0,0.8456
U100478,0,0.8445
U101170,0,0.8439
U101696,0,0.8437
U100300,0,0.8435
U100833,0,0.8415
U101773,1,0.8415
U100509,1,0.8413
U100547,0,0.8394
U101999,1,0.8391
U101967,0,0.839
U101436,0,0.8383
U100055,1,0.8368
U101388,0,0.8359
U100230,1,0.8351
U101252,1,0.8351
U101644,0,0.8345
U101821,0,0.8334
U100458,0,0.8311
U100494,1,0.8305
U100500,1,0.83
U101541,0,0.8276
U100601,0,0.8265
U101705,0,0.8259
U101356,1,0.8257
